"Rank","Opportunity","Product/Cluster","Primary Keyword","Country/Region","Language","Intent","Competition","Opportunity Score","Target URL","Status","Recommended Action","Current Rank","Best Observed Competitor","Content Gap"
"14","1401 steam page","Basmati rice","1401 steam basmati rice exporter","Global","en","Transactional","Medium","83","https://jftagro.com/1401-steam-basmati-rice-exporter.html","Existing","Strengthen specifications and internal links","Requires GSC query export","Alstoe Exports / Botanika Bharat","Strengthen specifications and internal links"
"15","1401 sella page","Basmati rice","1401 sella basmati rice supplier","Global","en","Transactional","Medium","82","https://jftagro.com/1401-sella-basmati-rice-exporter.html","Existing","Differentiate from golden-sella intent","Requires GSC query export","Alstoe Exports / Botanika Bharat","Differentiate from golden-sella intent"
"16","Basmati variety comparison","Basmati rice","1121 vs 1509 basmati rice","Global","en","Comparison","Medium","81","https://jftagro.com/blog-basmati-export-guide.html","Existing","Add 1401 and 1718 decision paths where supported","Requires GSC query export","Alstoe Exports / Botanika Bharat","Add 1401 and 1718 decision paths where supported"
"17","Basmati UAE sourcing","Basmati rice","basmati rice exporter to UAE","UAE","en","Transactional","High","80","https://jftagro.com/uae-trade.html","Existing","Add UAE buyer requirements using current official sources","Requires GSC query export","Alstoe Exports / Botanika Bharat","Add UAE buyer requirements using current official sources"
"18","Basmati Europe compliance","Basmati rice","basmati rice supplier for Europe","Europe","en","Commercial","High","79","https://jftagro.com/europe-trade.html","Existing","Connect MRL and documentation resources","Requires GSC query export","Alstoe Exports / Botanika Bharat","Connect MRL and documentation resources"
"19","100% broken rice","Non-basmati rice","100% broken rice exporter India","Global","en","Transactional","Medium","78","https://jftagro.com/100-broken-rice-exporter.html","Existing","Clarify applications only with verified facts","Requires GSC query export","Alstoe Exports / Botanika Bharat","Clarify applications only with verified facts"
"20","Silky sortex 5% white rice","Non-basmati rice","5% broken silky sortex rice exporter","Global","en","Transactional","Low","77","https://jftagro.com/5-silky-sortex-white-exporter.html","Existing","Target precise grade terminology","Requires GSC query export","Alstoe Exports / Botanika Bharat","Target precise grade terminology"
"21","Silky sortex 25% white rice","Non-basmati rice","25% broken silky sortex rice supplier","Global","en","Transactional","Low","76","https://jftagro.com/25-silky-sortex-white-exporter.html","Existing","Add cross-grade comparison links","Requires GSC query export","Alstoe Exports / Botanika Bharat","Add cross-grade comparison links"
"22","PR11 rice supplier","Rice","PR11 rice exporter India","Global","en","Transactional","Medium","75","https://jftagro.com/pr-11-rice-exporter.html","Existing","Add verified origin and form detail","Requires GSC query export","Alstoe Exports / Botanika Bharat","Add verified origin and form detail"
"23","Samba rice supplier","Rice","Samba rice exporter India","Global","en","Transactional","Low","74","https://jftagro.com/samba-rice-exporter.html","Existing","Match regional buyer terminology","Requires GSC query export","Alstoe Exports / Botanika Bharat","Match regional buyer terminology"
"24","India versus Thailand rice","Rice","India rice vs Thailand rice","Global","en","Comparison","Medium","73","https://jftagro.com/blog-india-vs-thailand-rice-comparison.html","Existing","Refresh price-sensitive claims and cite dates","Requires GSC query export","Alstoe Exports / Botanika Bharat","Refresh price-sensitive claims and cite dates"
"25","Rice import duty guide","Rice","Indian rice import duty by country","Global","en","Informational","Medium","72","https://jftagro.com/blog-import-duty-indian-rice-by-country.html","Existing","Quarterly source review and prominent data date","Requires GSC query export","Alstoe Exports / Botanika Bharat","Quarterly source review and prominent data date"
"26","Nigeria and West Africa rice guide","Rice","how to import rice from India to Nigeria","Nigeria","en","Informational","Medium","71","https://jftagro.com/blog-how-to-import-rice-nigeria-west-africa.html","Existing","Update only from current customs sources","Requires GSC query export","Alstoe Exports / Botanika Bharat","Update only from current customs sources"
"27","Wheat flour bulk exporter","Wheat flour","wheat flour exporter India","Global","en","Transactional","Medium","90","https://jftagro.com/wheat-flour-chakki-fresh-atta-exporter.html","Existing","Strengthen buyer-specific verified packing detail","Requires GSC query export","Zauba / category exporters","Strengthen buyer-specific verified packing detail"
"28","Chakki atta exporter","Wheat flour","chakki atta exporter India","Global","en","Transactional","Low","89","https://jftagro.com/wheat-flour-chakki-fresh-atta-exporter.html","Existing","Retain one URL for synonym cluster","Requires GSC query export","Zauba / category exporters","Retain one URL for synonym cluster"
"29","Private-label atta","Wheat flour","private label atta supplier India","Middle East","en","Commercial","Medium","82","https://jftagro.com/wheat-flour-chakki-fresh-atta-exporter.html","Existing","Publish only verified private-label capability","Requires GSC query export","Zauba / category exporters","Publish only verified private-label capability"
"30","Maida exporter","Wheat flour","maida exporter India bulk","Global","en","Transactional","Medium","81","https://jftagro.com/maida-refined-wheat-flour-exporter.html","Existing","Add application and packing decision content","Requires GSC query export","Zauba / category exporters","Add application and packing decision content"
"31","Semolina exporter","Wheat products","semolina sooji exporter India","Global","en","Transactional","Medium","79","https://jftagro.com/semolina-sooji-rava-exporter.html","Existing","Map international synonyms without stuffing","Requires GSC query export","Zauba / category exporters","Map international synonyms without stuffing"
"32","Milling wheat exporter","Wheat","milling wheat exporter India","Global","en","Transactional","Medium","78","https://jftagro.com/milling-wheat-exporter.html","Existing","Verify grade terminology and documentation","Requires GSC query export","Zauba / category exporters","Verify grade terminology and documentation"
"33","Yellow maize exporter","Maize","yellow maize exporter India","Global","en","Transactional","High","88","https://jftagro.com/yellow-maize-corn-exporter.html","Existing","Add food/feed intent separation where accurate","Requires GSC query export","Voyager Exim / specialist category pages","Add food/feed intent separation where accurate"
"34","Maize grits exporter","Maize","maize grits exporter India","Global","en","Transactional","Medium","78","https://jftagro.com/maize-grits-exporter.html","Existing","Strengthen granulation and buyer-use terminology only if verified","Requires GSC query export","Voyager Exim / specialist category pages","Strengthen granulation and buyer-use terminology only if verified"
"35","Corn flour exporter","Maize","corn flour exporter India","Global","en","Transactional","Medium","76","https://jftagro.com/corn-flour-maize-flour-exporter.html","Existing","Clarify corn flour versus starch intent","Requires GSC query export","Voyager Exim / specialist category pages","Clarify corn flour versus starch intent"
"36","Corn starch supplier","Maize","corn starch exporter India","Global","en","Transactional","High","75","https://jftagro.com/corn-starch-exporter.html","Existing","Add food-industry buyer pathway","Requires GSC query export","Voyager Exim / specialist category pages","Add food-industry buyer pathway"
"37","Corn gluten meal","Animal feed","corn gluten meal exporter India","Global","en","Transactional","Medium","74","https://jftagro.com/corn-gluten-meal-exporter.html","Existing","Keep feed terminology distinct from food pages","Requires GSC query export","Voyager Exim / specialist category pages","Keep feed terminology distinct from food pages"
"38","Cumin exporter","Spices","cumin seeds exporter India","Global","en","Transactional","High","89","https://jftagro.com/cumin-seeds-jeera-exporter.html","Existing","Add verified grade and residue-testing content","Requires GSC query export","Voyager Exim / specialist category pages","Add verified grade and residue-testing content"
"39","Cumin price outlook","Spices","Indian cumin price outlook 2026","Global","en","Price/Informational","Medium","77","https://jftagro.com/blog-cumin-jeera-price-outlook-2026.html","Existing","Refresh dated market data and cite sources","Requires GSC query export","Voyager Exim / specialist category pages","Refresh dated market data and cite sources"
"40","Coriander exporter","Spices","coriander seeds exporter India","Global","en","Transactional","High","87","https://jftagro.com/coriander-seeds-exporter.html","Existing","Connect Eagle/Scooter guide and product page","Requires GSC query export","Voyager Exim / specialist category pages","Connect Eagle/Scooter guide and product page"
"41","Coriander grade guide","Spices","Eagle vs Scooter coriander seeds","Global","en","Comparison","Low","79","https://jftagro.com/blog-coriander-seeds-export-india-2026.html","Existing","Add verified grade comparison table","Requires GSC query export","Voyager Exim / specialist category pages","Add verified grade comparison table"
"42","Turmeric finger exporter","Spices","turmeric finger exporter India","Global","en","Transactional","High","88","https://jftagro.com/turmeric-finger-exporter.html","Existing","Strengthen curcumin and grade content only with COA evidence","Requires GSC query export","Voyager Exim / specialist category pages","Strengthen curcumin and grade content only with COA evidence"
"43","Turmeric variety guide","Spices","Salem vs Nizamabad turmeric","Global","en","Comparison","Medium","81","https://jftagro.com/blog-turmeric-finger-export-india-2026.html","Existing","Maintain source-backed distinctions","Requires GSC query export","Voyager Exim / specialist category pages","Maintain source-backed distinctions"
"44","Turmeric market outlook","Spices","turmeric market outlook 2026","Global","en","Price/Informational","Medium","73","https://jftagro.com/blog-turmeric-market-outlook-2026.html","Existing","Monthly data-date review","Requires GSC query export","Voyager Exim / specialist category pages","Monthly data-date review"
"45","Red chilli exporter","Spices","dry red chilli exporter India","Global","en","Transactional","High","86","https://jftagro.com/dry-red-chilli-exporter.html","Existing","Add verified heat/colour specification framework","Requires GSC query export","Voyager Exim / specialist category pages","Add verified heat/colour specification framework"
"46","Teja chilli buyer guide","Spices","Teja red chilli exporter India","Global","en","Commercial","Medium","82","https://jftagro.com/blog-red-chilli-teja-export-india-2026.html","Existing","Link directly to RFQ specification guidance","Requires GSC query export","Voyager Exim / specialist category pages","Link directly to RFQ specification guidance"
"47","Fennel exporter","Spices","fennel seeds exporter India","Global","en","Transactional","Medium","78","https://jftagro.com/fennel-seeds-sounff-exporter.html","Existing","Correct spelling variants naturally","Requires GSC query export","Voyager Exim / specialist category pages","Correct spelling variants naturally"
"48","Fenugreek exporter","Spices","fenugreek seeds exporter India","Global","en","Transactional","Medium","77","https://jftagro.com/fenugreek-seeds-methi-exporter.html","Existing","Add buyer-use and documentation detail","Requires GSC query export","Voyager Exim / specialist category pages","Add buyer-use and documentation detail"
"49","Green cardamom exporter","Spices","green cardamom exporter India","Global","en","Transactional","High","76","https://jftagro.com/green-cardamom-exporter.html","Existing","Publish size/grade data only if verified","Requires GSC query export","Voyager Exim / specialist category pages","Publish size/grade data only if verified"
"50","Black pepper powder exporter","Spices","black pepper powder exporter India","Global","en","Transactional","High","74","https://jftagro.com/black-pepper-powder-exporter.html","Existing","Add microbiological/testing workflow if genuine","Requires GSC query export","Voyager Exim / specialist category pages","Add microbiological/testing workflow if genuine"
"51","Dry ginger exporter","Spices","dry ginger powder exporter India","Global","en","Transactional","Medium","73","https://jftagro.com/dry-ginger-powder-exporter.html","Existing","Improve semantic coverage around powder specifications","Requires GSC query export","Voyager Exim / specialist category pages","Improve semantic coverage around powder specifications"
"52","Nigella exporter","Spices","nigella seeds exporter India","Global","en","Transactional","Medium","72","https://jftagro.com/black-cumin-seeds-nigella-exporter.html","Existing","Separate nigella from cumin terminology","Requires GSC query export","Voyager Exim / specialist category pages","Separate nigella from cumin terminology"
"53","Ajwain exporter","Spices","ajwain seeds exporter India","Global","en","Transactional","Low","71","https://jftagro.com/ajwain-seeds-powder-exporter.html","Existing","Clarify seed versus powder availability","Requires GSC query export","Voyager Exim / specialist category pages","Clarify seed versus powder availability"
"54","Sesame exporter","Oilseeds","sesame seeds exporter India","Global","en","Transactional","High","85","https://jftagro.com/sesame-seeds-naturalhulled-exporter.html","Existing","Separate natural and hulled intent visibly","Requires GSC query export","Voyager Exim / specialist category pages","Separate natural and hulled intent visibly"
"55","Sesame grade guide","Oilseeds","natural vs hulled sesame seeds","Global","en","Comparison","Medium","79","https://jftagro.com/blog-sesame-export-2026.html","Existing","Link comparison decisions to product enquiry","Requires GSC query export","Voyager Exim / specialist category pages","Link comparison decisions to product enquiry"
"56","Groundnut exporter","Oilseeds","groundnut exporter India","Global","en","Transactional","High","84","https://jftagro.com/groundnuts-peanuts-exporter.html","Existing","Add count/grade/testing content only when verified","Requires GSC query export","Voyager Exim / specialist category pages","Add count/grade/testing content only when verified"
"57","Groundnut buyer guide","Oilseeds","import groundnuts from India","Global","en","Commercial","Medium","78","https://jftagro.com/blog-groundnut-peanut-export-india-2026.html","Existing","Add aflatoxin and shipment-control sources","Requires GSC query export","Voyager Exim / specialist category pages","Add aflatoxin and shipment-control sources"
"58","Sunflower seed exporter","Oilseeds","sunflower seeds exporter India","Global","en","Transactional","Medium","72","https://jftagro.com/sunflower-seeds-exporter.html","Existing","Differentiate in-shell and kernel intent","Requires GSC query export","Voyager Exim / specialist category pages","Differentiate in-shell and kernel intent"
"59","Safflower seed exporter","Oilseeds","safflower seeds exporter India","Global","en","Transactional","Low","70","https://jftagro.com/safflower-seeds-exporter.html","Existing","Add authentic origin and use information","Requires GSC query export","Voyager Exim / specialist category pages","Add authentic origin and use information"
"60","Soybean exporter","Oilseeds","soybean exporter India","Global","en","Transactional","High","70","https://jftagro.com/soya-bean-exporter.html","Existing","Use one consistent soybean naming strategy","Requires GSC query export","Voyager Exim / specialist category pages","Use one consistent soybean naming strategy"
"61","DOC soybean meal","Animal feed","soybean meal DOC exporter India","Global","en","Transactional","Medium","69","https://jftagro.com/soybean-meal-doc-exporter.html","Existing","Clarify protein terminology only with verified data","Requires GSC query export","Voyager Exim / specialist category pages","Clarify protein terminology only with verified data"
"62","DORB exporter","Animal feed","de-oiled rice bran exporter India","Global","en","Transactional","Medium","68","https://jftagro.com/deoiled-rice-bran-dorb-exporter.html","Existing","Build acronym definition and feed-buyer FAQ","Requires GSC query export","Voyager Exim / specialist category pages","Build acronym definition and feed-buyer FAQ"
"63","Kabuli chickpeas exporter","Pulses","Kabuli chickpeas exporter India","Global","en","Transactional","High","85","https://jftagro.com/chickpeas-kabuli-exporter.html","Existing","Add caliber terminology only when verified","Requires GSC query export","Voyager Exim / specialist category pages","Add caliber terminology only when verified"
"64","Green mung exporter","Pulses","green mung beans exporter India","Global","en","Transactional","High","83","https://jftagro.com/green-mung-beans-exporter.html","Existing","Connect buyer guide and product page","Requires GSC query export","Voyager Exim / specialist category pages","Connect buyer guide and product page"
"65","Green mung buyer guide","Pulses","import green mung beans from India","Global","en","Commercial","Medium","77","https://jftagro.com/blog-green-mung-beans-export-india-2026.html","Existing","Add measurable purchase-spec checklist","Requires GSC query export","Voyager Exim / specialist category pages","Add measurable purchase-spec checklist"
"66","Toor dal exporter","Pulses","toor dal exporter India","Global","en","Transactional","High","82","https://jftagro.com/toor-dal-split-pigeon-pea-exporter.html","Existing","Map pigeon pea synonyms to one URL","Requires GSC query export","Voyager Exim / specialist category pages","Map pigeon pea synonyms to one URL"
"67","Yellow peas exporter","Pulses","yellow peas exporter India","Global","en","Transactional","Medium","70","https://jftagro.com/yellow-peas-matar-exporter.html","Existing","Add verified packing and destination content","Requires GSC query export","Voyager Exim / specialist category pages","Add verified packing and destination content"
"68","Psyllium husk exporter","Psyllium","psyllium husk exporter India","Global","en","Transactional","High","86","https://jftagro.com/psyllium-husk-exporter.html","Existing","Strengthen testing and documentation evidence","Requires GSC query export","Voyager Exim / specialist category pages","Strengthen testing and documentation evidence"
"69","Psyllium buyer guide","Psyllium","psyllium husk grades India","Global","en","Commercial","Medium","78","https://jftagro.com/blog-psyllium-husk-export-india-2026.html","Existing","Keep claims source-backed and current","Requires GSC query export","Voyager Exim / specialist category pages","Keep claims source-backed and current"
"70","Indian raisins exporter","Dried fruit","Indian raisins exporter","Global","en","Transactional","Medium","76","https://jftagro.com/indian-raisins-kishmish-exporter.html","Existing","Add size/colour terminology only if verified","Requires GSC query export","Voyager Exim / specialist category pages","Add size/colour terminology only if verified"
"71","Sugar S30 supplier","Sugar","S30 sugar supplier India","Global","en","Transactional","High","72","https://jftagro.com/sugar-s30-supplier.html","Existing","Monitor export-policy freshness closely","Requires GSC query export","Voyager Exim / specialist category pages","Monitor export-policy freshness closely"
"72","Moringa powder exporter","Herbs","moringa powder exporter India","Global","en","Transactional","High","72","https://jftagro.com/moringa-powder-exporter.html","Existing","Add testing and buyer-application intent","Requires GSC query export","Voyager Exim / specialist category pages","Add testing and buyer-application intent"
"73","Senna leaves exporter","Herbs","senna leaves exporter India","Global","en","Transactional","Medium","69","https://jftagro.com/senna-leaves-exporter.html","Existing","Avoid medical claims and focus trade specifications","Requires GSC query export","Voyager Exim / specialist category pages","Avoid medical claims and focus trade specifications"
"74","Henna powder exporter","Herbs","henna powder exporter India","Global","en","Transactional","Medium","68","https://jftagro.com/henna-powder-exporter.html","Existing","Keep cosmetic/industrial buyer intent distinct","Requires GSC query export","Voyager Exim / specialist category pages","Keep cosmetic/industrial buyer intent distinct"
"75","Tamarind exporter","Produce","tamarind exporter India","Global","en","Transactional","Medium","69","https://jftagro.com/tamarind-exporter.html","Existing","Add form and packing detail only if supplied","Requires GSC query export","Voyager Exim / specialist category pages","Add form and packing detail only if supplied"
"76","Africa trade hub","Market","agricultural products exporter India to Africa","Africa","en","Commercial","Medium","88","https://jftagro.com/africa-trade.html","Existing","Deepen real corridors and link priority products","Requires GSC query export","Requires dedicated country/query SERP validation","Deepen real corridors and link priority products"
"77","UAE trade hub","Market","Indian food products exporter to UAE","UAE","en","Commercial","High","87","https://jftagro.com/uae-trade.html","Existing","Use current UAE authority sources","Requires GSC query export","Requires dedicated country/query SERP validation","Use current UAE authority sources"
"78","Europe/CIS trade hub","Market","Indian agro exporter to Europe","Europe","en","Commercial","High","76","https://jftagro.com/europe-trade.html","Existing","Separate EU and CIS compliance intent","Requires GSC query export","Requires dedicated country/query SERP validation","Separate EU and CIS compliance intent"
"79","Asia trade hub","Market","Indian agricultural exporter to Asia","Asia","en","Commercial","High","74","https://jftagro.com/asia-trade.html","Existing","Prioritize actual served markets","Requires GSC query export","Requires dedicated country/query SERP validation","Prioritize actual served markets"
"80","Nigeria rice market page","Rice","Indian rice exporter to Nigeria","Nigeria","en","Transactional","High","82","Planned: /markets/nigeria/rice/","Planned","Create only after serviceability and unique content approval","Requires GSC query export","Requires dedicated country/query SERP validation","Create only after serviceability and unique content approval"
"81","Saudi Basmati market page","Basmati rice","Indian basmati rice exporter to Saudi Arabia","Saudi Arabia","en","Transactional","High","80","Planned: /markets/saudi-arabia/basmati-rice/","Planned","Validate demand and compliance sources first","Requires GSC query export","Requires dedicated country/query SERP validation","Validate demand and compliance sources first"
"82","Bangladesh rice market page","Rice","rice exporter India to Bangladesh","Bangladesh","en","Transactional","High","78","Planned: /markets/bangladesh/rice/","Planned","Create only with current policy and corridor facts","Requires GSC query export","Requires dedicated country/query SERP validation","Create only with current policy and corridor facts"
"83","Sri Lanka rice market page","Rice","rice exporter India to Sri Lanka","Sri Lanka","en","Transactional","Medium","76","Planned: /markets/sri-lanka/rice/","Planned","Validate current import policy before publishing","Requires GSC query export","Requires dedicated country/query SERP validation","Validate current import policy before publishing"
"84","Kenya pulses market page","Pulses","pulses exporter India to Kenya","Kenya","en","Transactional","Medium","73","Planned: /markets/kenya/pulses/","Planned","Use genuine logistics and buyer requirements","Requires GSC query export","Requires dedicated country/query SERP validation","Use genuine logistics and buyer requirements"
"85","Vietnam agro market page","Market","agricultural products exporter India to Vietnam","Vietnam","en","Commercial","Medium","72","Planned: /markets/vietnam/","Planned","Validate product-market fit before creation","Requires GSC query export","Requires dedicated country/query SERP validation","Validate product-market fit before creation"
"86","JNPT export logistics guide","Logistics","agro commodity exporter from Nhava Sheva","Global","en","Commercial","Low","79","Planned: /logistics/nhava-sheva-agro-exports/","Planned","Publish real process and route information","Requires GSC query export","Requires dedicated country/query SERP validation","Publish real process and route information"
"87","Mundra rice logistics guide","Logistics","rice exporter from Mundra port","Middle East/Africa","en","Commercial","Low","78","Planned: /logistics/mundra-rice-exports/","Planned","Use real routing and cutoff caveats","Requires GSC query export","Requires dedicated country/query SERP validation","Use real routing and cutoff caveats"
"88","Kandla commodity logistics guide","Logistics","agro commodity exporter Kandla port","Global","en","Commercial","Low","72","Planned: /logistics/kandla-agro-exports/","Planned","Create only with operational evidence","Requires GSC query export","Requires dedicated country/query SERP validation","Create only with operational evidence"
"89","Kakinada IR64 logistics guide","Logistics","IR64 rice exporter Kakinada port","Africa/Asia","en","Commercial","Low","75","Planned: /logistics/kakinada-ir64-rice-exports/","Planned","Validate JFT serviceability before publication","Requires GSC query export","Requires dedicated country/query SERP validation","Validate JFT serviceability before publication"
"90","Export documentation center","Documentation","agro export documents India","Global","en","Informational","Medium","84","https://jftagro.com/export-documentation.html","Existing","Increase contextual links from every commercial cluster","Requires GSC query export","Requires dedicated country/query SERP validation","Increase contextual links from every commercial cluster"
"91","Purchase specification guide","Procurement","agro commodity purchase specification template","Global","en","Informational","Low","83","https://jftagro.com/blog-how-to-write-agro-commodity-purchase-specification.html","Existing","Offer useful template without unverifiable claims","Requires GSC query export","Requires dedicated country/query SERP validation","Offer useful template without unverifiable claims"
"92","COA review guide","Quality","how to review certificate of analysis food imports","Global","en","Informational","Low","82","https://jftagro.com/blog-certificate-of-analysis-food-imports.html","Existing","Add cited examples and lot-identity workflow","Requires GSC query export","Requires dedicated country/query SERP validation","Add cited examples and lot-identity workflow"
"93","Container loading checklist","Logistics","food container loading inspection checklist","Global","en","Informational","Low","81","https://jftagro.com/blog-food-container-loading-inspection-checklist.html","Existing","Link from infrastructure and quality pages","Requires GSC query export","Requires dedicated country/query SERP validation","Link from infrastructure and quality pages"
"94","Exporter due diligence guide","Trust","how to verify Indian agro exporter","Global","en","Commercial","Medium","85","https://jftagro.com/blog-how-to-choose-indian-agro-exporter.html","Existing","Add verifiable entity evidence and official checks","Requires GSC query export","Requires dedicated country/query SERP validation","Add verifiable entity evidence and official checks"
"95","Buyer security center","Trust","safe payment Indian exporter","Global","en","Commercial","Medium","80","https://jftagro.com/buyer-security.html","Existing","Connect LC/TT and verification guides","Requires GSC query export","Requires dedicated country/query SERP validation","Connect LC/TT and verification guides"
"96","Original proof asset program","Entity/Trust","Indian agro exporter certifications and facilities","Global","en","Navigational/Commercial","Medium","88","https://jftagro.com/certificates.html","Existing","Publish current redacted proof and original imagery only","Requires GSC query export","Requires dedicated country/query SERP validation","Publish current redacted proof and original imagery only"
"97","Author and reviewer entities","E-E-A-T","agro export guide author India","Global","en","Trust","Low","77","Existing articles","Planned","Add real named reviewers with credentials and review dates","Requires GSC query export","Requires dedicated country/query SERP validation","Add real named reviewers with credentials and review dates"
"98","Native-language quality governance","International SEO","localized Indian agro exporter pages","Priority markets","Multiple","Commercial","Medium","86","Existing locale URLs","Planned","Require native commercial review and Search Console demand evidence","Requires GSC query export","Requires dedicated country/query SERP validation","Require native commercial review and Search Console demand evidence"
"99","Digital PR evidence assets","Authority","Indian agricultural export market data","Global","en","Informational","High","84","Planned research assets","Planned","Publish original datasets/checklists that can earn citations","Requires GSC query export","Requires dedicated country/query SERP validation","Publish original datasets/checklists that can earn citations"
"100","Search Console opportunity loop","Measurement","non-brand agro export queries","Global","Multiple","Measurement","Low","95","All canonical URLs","Planned","Map impressions CTR position and enquiries to page-level priorities","Requires GSC query export","Requires dedicated country/query SERP validation","Map impressions CTR position and enquiries to page-level priorities"
