query,clicks,impressions,ctr_percent,position,estimated_ctr_gap_clicks,candidate_target,mapping_basis,recommended_action
jeera price india today 2026,0,3,0.0,9.33,0.15,https://jftagro.com/blog-cumin-jeera-price-outlook-2026.html,cumin price/information intent,review_snippet_and_intent_after_post_release_window
jeera price per kg 2026 india retail,0,3,0.0,10.0,0.15,https://jftagro.com/blog-cumin-jeera-price-outlook-2026.html,cumin price/information intent,review_snippet_and_intent_after_post_release_window
ಜೀರಿಗೆ ಬೆಲೆ,0,3,0.0,9.67,0.15,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
cif rate,0,2,0.0,1.0,0.14,https://jftagro.com/quote-calculator.html,calculator intent,defend_and_monitor
cif price calculation,0,5,0.0,11.0,0.11,https://jftagro.com/quote-calculator.html,calculator intent,review_snippet_and_intent_after_post_release_window
how many 50kg bags of rice in a 20ft container,0,5,0.0,10.8,0.11,https://jftagro.com/packing-calculator.html,container packing intent,review_snippet_and_intent_after_post_release_window
kishmish exporter india,0,5,0.0,17.8,0.11,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
"""port of loading eta"" shipping",0,2,0.0,9.5,0.1,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
cumin seed price per kg india 2026,0,2,0.0,9.5,0.1,https://jftagro.com/blog-cumin-jeera-price-outlook-2026.html,cumin price/information intent,review_snippet_and_intent_after_post_release_window
cumin seeds price per kg 2025 india retail,0,2,0.0,10.0,0.1,https://jftagro.com/blog-cumin-jeera-price-outlook-2026.html,cumin price/information intent,review_snippet_and_intent_after_post_release_window
how many 1kg bags of flower dried can fit on a 20foot container,0,2,0.0,5.5,0.1,https://jftagro.com/packing-calculator.html,container packing intent,review_snippet_and_intent_after_post_release_window
how many 50kg bags of sugar in a 20ft container,0,2,0.0,6.0,0.1,https://jftagro.com/packing-calculator.html,container packing intent,review_snippet_and_intent_after_post_release_window
packing calculator,0,2,0.0,9.0,0.1,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
turmeric fob price india 2026,0,2,0.0,5.5,0.1,https://jftagro.com/quote-calculator.html,calculator intent,review_snippet_and_intent_after_post_release_window
grains trade in asia,0,14,0.0,33.71,0.08,https://jftagro.com/asia-trade.html,Asia trade intent,expand_relevant_content_and_links_after_validation
agro,0,1,0.0,5.0,0.08,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
cif calculation,0,1,0.0,4.0,0.08,https://jftagro.com/quote-calculator.html,calculator intent,review_snippet_and_intent_after_post_release_window
cif cost,0,1,0.0,5.0,0.08,https://jftagro.com/quote-calculator.html,calculator intent,review_snippet_and_intent_after_post_release_window
cif port klang,0,1,0.0,4.0,0.08,https://jftagro.com/quote-calculator.html,calculator intent,review_snippet_and_intent_after_post_release_window
fob cost,0,1,0.0,4.0,0.08,https://jftagro.com/quote-calculator.html,calculator intent,review_snippet_and_intent_after_post_release_window
for dubai,0,1,0.0,5.0,0.08,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
other african countries,0,1,0.0,5.0,0.08,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
rice cost calculator,0,1,0.0,5.0,0.08,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
미국과 비교,0,1,0.0,5.0,0.08,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
next,0,2,0.0,3.0,0.07,,requires query-to-page API export,defend_and_monitor
28 mt,0,1,0.0,1.0,0.07,,requires query-to-page API export,defend_and_monitor
agro-alimentaire,0,1,0.0,1.0,0.07,,requires query-to-page API export,defend_and_monitor
cepa,0,1,0.0,1.0,0.07,,requires query-to-page API export,defend_and_monitor
cif to inr,0,1,0.0,1.0,0.07,https://jftagro.com/quote-calculator.html,calculator intent,defend_and_monitor
coumin,0,1,0.0,1.0,0.07,,requires query-to-page API export,defend_and_monitor
far east ports,0,1,0.0,1.0,0.07,,requires query-to-page API export,defend_and_monitor
from which country origin,0,1,0.0,1.0,0.07,,requires query-to-page API export,defend_and_monitor
give me more companies,0,1,0.0,1.0,0.07,,requires query-to-page API export,defend_and_monitor
jeera price,0,1,0.0,1.0,0.07,https://jftagro.com/blog-cumin-jeera-price-outlook-2026.html,cumin price/information intent,defend_and_monitor
kurnool steam rice,0,1,0.0,1.0,0.07,,requires query-to-page API export,defend_and_monitor
price structure,0,1,0.0,1.0,0.07,,requires query-to-page API export,defend_and_monitor
pricing quotes,0,1,0.0,1.0,0.07,,requires query-to-page API export,defend_and_monitor
"we've been trying to export organic chana dal to dubai but the 
phytosanitary paperwork and fssai compliance is a nightmare — is there a 
service that just handles all of this for you",0,1,0.0,1.0,0.07,,requires query-to-page API export,defend_and_monitor
インドは？,0,1,0.0,1.0,0.07,,requires query-to-page API export,defend_and_monitor
cumin price per kg chennai 2026,0,3,0.0,10.67,0.06,https://jftagro.com/blog-cumin-jeera-price-outlook-2026.html,cumin price/information intent,review_snippet_and_intent_after_post_release_window
basmati,0,1,0.0,8.0,0.05,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
both,0,1,0.0,10.0,0.05,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
cif price list 2026,0,1,0.0,8.0,0.05,https://jftagro.com/quote-calculator.html,calculator intent,review_snippet_and_intent_after_post_release_window
cumin seeds price per kg chennai june 2026,0,1,0.0,8.0,0.05,https://jftagro.com/blog-cumin-jeera-price-outlook-2026.html,cumin price/information intent,review_snippet_and_intent_after_post_release_window
cumin seeds price per kg india 2025 retail,0,1,0.0,10.0,0.05,https://jftagro.com/blog-cumin-jeera-price-outlook-2026.html,cumin price/information intent,review_snippet_and_intent_after_post_release_window
cumin seeds price per kg india 2026 retail,0,1,0.0,10.0,0.05,https://jftagro.com/blog-cumin-jeera-price-outlook-2026.html,cumin price/information intent,review_snippet_and_intent_after_post_release_window
dubai,0,1,0.0,7.0,0.05,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
fob cost calculator,0,1,0.0,7.0,0.05,https://jftagro.com/quote-calculator.html,calculator intent,review_snippet_and_intent_after_post_release_window
fob rate,0,1,0.0,10.0,0.05,https://jftagro.com/quote-calculator.html,calculator intent,review_snippet_and_intent_after_post_release_window
for pallet,0,1,0.0,8.0,0.05,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
free sample in india,0,1,0.0,8.0,0.05,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
is this good business,0,1,0.0,9.0,0.05,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
jeera price forecast 2026 india cumin price outlook,0,1,0.0,9.0,0.05,https://jftagro.com/blog-cumin-jeera-price-outlook-2026.html,cumin price/information intent,review_snippet_and_intent_after_post_release_window
jeera price per kg chennai 2025,0,1,0.0,8.0,0.05,https://jftagro.com/blog-cumin-jeera-price-outlook-2026.html,cumin price/information intent,review_snippet_and_intent_after_post_release_window
mostly europe,0,1,0.0,7.0,0.05,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
pusa 1121 vs 1509,0,1,0.0,10.0,0.05,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
senna,0,1,0.0,6.0,0.05,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
shipping and logistics,0,1,0.0,8.0,0.05,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
basmati rice demand uae,0,7,0.0,21.57,0.04,,requires query-to-page API export,expand_relevant_content_and_links_after_validation
rice exporter from india to uae,0,7,0.0,27.71,0.04,,requires query-to-page API export,expand_relevant_content_and_links_after_validation
cumin price forecast,0,2,0.0,10.5,0.04,https://jftagro.com/blog-cumin-jeera-price-outlook-2026.html,cumin price/information intent,review_snippet_and_intent_after_post_release_window
cumin price per kg tamil nadu retail 2026,0,2,0.0,10.5,0.04,https://jftagro.com/blog-cumin-jeera-price-outlook-2026.html,cumin price/information intent,review_snippet_and_intent_after_post_release_window
cumin seed retail price per kg india 2026,0,2,0.0,11.0,0.04,https://jftagro.com/blog-cumin-jeera-price-outlook-2026.html,cumin price/information intent,review_snippet_and_intent_after_post_release_window
40 feet container rent per month,0,1,0.0,3.0,0.04,https://jftagro.com/packing-calculator.html,container packing intent,defend_and_monitor
cif jebel ali,0,1,0.0,3.0,0.04,https://jftagro.com/quote-calculator.html,calculator intent,defend_and_monitor
exim india shipping times,0,1,0.0,2.0,0.04,,requires query-to-page API export,defend_and_monitor
export cost calculator,0,1,0.0,2.0,0.04,,requires query-to-page API export,defend_and_monitor
fob mundra,0,1,0.0,2.0,0.04,https://jftagro.com/quote-calculator.html,calculator intent,defend_and_monitor
fob turmeric price india 2026,0,1,0.0,3.0,0.04,https://jftagro.com/quote-calculator.html,calculator intent,defend_and_monitor
more,0,1,0.0,2.0,0.04,,requires query-to-page API export,defend_and_monitor
pleaese,0,1,0.0,3.0,0.04,,requires query-to-page API export,defend_and_monitor
premium 1121 basmati rice,0,1,0.0,2.0,0.04,,requires query-to-page API export,defend_and_monitor
pricing estimates,0,1,0.0,2.0,0.04,,requires query-to-page API export,defend_and_monitor
what is the rate,0,1,0.0,2.0,0.04,,requires query-to-page API export,defend_and_monitor
ดูใบ,0,1,0.0,2.0,0.04,,requires query-to-page API export,defend_and_monitor
importing seeds to dubai united arab emirates,0,17,0.0,67.88,0.03,https://jftagro.com/uae-trade.html,UAE trade intent,validate_relevance_before_investing
psyllium husk export from india,0,17,0.0,44.94,0.03,https://jftagro.com/blog-psyllium-husk-export-india-2026.html,psyllium export-guide intent,validate_relevance_before_investing
psyllium husk export,0,12,0.0,54.08,0.02,https://jftagro.com/blog-psyllium-husk-export-india-2026.html,psyllium export-guide intent,validate_relevance_before_investing
moringa powder export,0,11,0.0,58.0,0.02,https://jftagro.com/moringa-powder-exporter.html,moringa product intent,validate_relevance_before_investing
import indian spices to uae,0,4,0.0,39.25,0.02,,requires query-to-page API export,expand_relevant_content_and_links_after_validation
indian spices demand uae,0,4,0.0,30.75,0.02,,requires query-to-page API export,expand_relevant_content_and_links_after_validation
basil seeds exporter,0,3,0.0,39.33,0.02,,requires query-to-page API export,expand_relevant_content_and_links_after_validation
export of psyllium,0,3,0.0,39.67,0.02,https://jftagro.com/blog-psyllium-husk-export-india-2026.html,psyllium export-guide intent,expand_relevant_content_and_links_after_validation
indian packaged food export dubai,0,3,0.0,27.67,0.02,,requires query-to-page API export,expand_relevant_content_and_links_after_validation
basmati 1121 vs 1509,0,1,0.0,12.0,0.02,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
cumin price per kg india 2025 retail,0,1,0.0,11.0,0.02,https://jftagro.com/blog-cumin-jeera-price-outlook-2026.html,cumin price/information intent,review_snippet_and_intent_after_post_release_window
fob rate calculator,0,1,0.0,11.0,0.02,https://jftagro.com/quote-calculator.html,calculator intent,review_snippet_and_intent_after_post_release_window
how to calculate fob value from cif value,0,1,0.0,11.0,0.02,https://jftagro.com/quote-calculator.html,calculator intent,review_snippet_and_intent_after_post_release_window
jeera price per kg tamil nadu 2026,0,1,0.0,11.0,0.02,https://jftagro.com/blog-cumin-jeera-price-outlook-2026.html,cumin price/information intent,review_snippet_and_intent_after_post_release_window
shipping transit time ningbo to mundra port,0,1,0.0,11.0,0.02,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
sooji rava hsn code,0,1,0.0,13.0,0.02,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
spices and tea,0,1,0.0,20.0,0.02,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
tamarind export,0,1,0.0,16.0,0.02,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
"yes , please",0,1,0.0,11.0,0.02,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
जीरे का भाव,0,1,0.0,20.0,0.02,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
जीरे के भाव,0,1,0.0,18.0,0.02,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
import export herbs business in united arab emirates,0,10,0.0,62.4,0.01,https://jftagro.com/uae-trade.html,UAE trade intent,validate_relevance_before_investing
nutmeg powder manufacturing plant cost,0,10,0.0,68.8,0.01,,requires query-to-page API export,validate_relevance_before_investing
import and export of pulses in dubai,0,8,0.0,66.12,0.01,https://jftagro.com/uae-trade.html,UAE trade intent,validate_relevance_before_investing
mustard seed powder manufacturing plant cost,0,8,0.0,83.25,0.01,,requires query-to-page API export,validate_relevance_before_investing
port to port shipping transit time,0,6,0.0,47.0,0.01,,requires query-to-page API export,validate_relevance_before_investing
southeast asia millet export regulations certification requirements,0,5,0.0,69.6,0.01,,requires query-to-page API export,validate_relevance_before_investing
calculate cif value,0,4,0.0,40.25,0.01,https://jftagro.com/quote-calculator.html,calculator intent,validate_relevance_before_investing
cif price,0,4,0.0,44.25,0.01,https://jftagro.com/quote-calculator.html,calculator intent,validate_relevance_before_investing
transit time between ports,0,4,0.0,47.25,0.01,,requires query-to-page API export,validate_relevance_before_investing
cif price list,0,2,0.0,25.5,0.01,https://jftagro.com/quote-calculator.html,calculator intent,expand_relevant_content_and_links_after_validation
fob price calculation,0,2,0.0,22.0,0.01,https://jftagro.com/quote-calculator.html,calculator intent,expand_relevant_content_and_links_after_validation
fob value calculation,0,2,0.0,27.0,0.01,https://jftagro.com/quote-calculator.html,calculator intent,expand_relevant_content_and_links_after_validation
how to calculate fob value for export,0,2,0.0,24.0,0.01,https://jftagro.com/quote-calculator.html,calculator intent,expand_relevant_content_and_links_after_validation
port transit,0,2,0.0,28.5,0.01,,requires query-to-page API export,expand_relevant_content_and_links_after_validation
africa,0,1,0.0,26.0,0.01,,requires query-to-page API export,expand_relevant_content_and_links_after_validation
best kishmish fro export,0,1,0.0,39.0,0.01,,requires query-to-page API export,expand_relevant_content_and_links_after_validation
export calculator,0,1,0.0,32.0,0.01,,requires query-to-page API export,expand_relevant_content_and_links_after_validation
export cif,0,1,0.0,39.0,0.01,https://jftagro.com/quote-calculator.html,calculator intent,expand_relevant_content_and_links_after_validation
henna powder exporter,0,1,0.0,34.0,0.01,,requires query-to-page API export,expand_relevant_content_and_links_after_validation
jeera rate today per kg,0,1,0.0,32.0,0.01,https://jftagro.com/blog-cumin-jeera-price-outlook-2026.html,cumin price/information intent,expand_relevant_content_and_links_after_validation
moringa leaves exporter,0,1,0.0,39.0,0.01,,requires query-to-page API export,expand_relevant_content_and_links_after_validation
port to port,0,1,0.0,24.0,0.01,,requires query-to-page API export,expand_relevant_content_and_links_after_validation
psyllium husk exporter india,0,1,0.0,27.0,0.01,https://jftagro.com/blog-psyllium-husk-export-india-2026.html,psyllium export-guide intent,expand_relevant_content_and_links_after_validation
psyllium husk exports,0,1,0.0,37.0,0.01,https://jftagro.com/blog-psyllium-husk-export-india-2026.html,psyllium export-guide intent,expand_relevant_content_and_links_after_validation
tamarind export from india,0,1,0.0,31.0,0.01,,requires query-to-page API export,expand_relevant_content_and_links_after_validation
tamarind exporters in india,0,1,0.0,24.0,0.01,,requires query-to-page API export,expand_relevant_content_and_links_after_validation
cif calculator,7,32,21.88,6.97,0.0,https://jftagro.com/quote-calculator.html,calculator intent,strengthen_conversion_measurement
fob price calculator,2,23,8.7,7.57,0.0,https://jftagro.com/quote-calculator.html,calculator intent,strengthen_conversion_measurement
cif price calculator,1,8,12.5,3.88,0.0,https://jftagro.com/quote-calculator.html,calculator intent,strengthen_conversion_measurement
yes,1,7,14.29,6.71,0.0,,requires query-to-page API export,strengthen_conversion_measurement
export price calculator,1,4,25.0,6.25,0.0,https://jftagro.com/quote-calculator.html,calculator intent,strengthen_conversion_measurement
fob to cif calculator,1,4,25.0,2.75,0.0,https://jftagro.com/quote-calculator.html,calculator intent,defend_and_monitor
moringa powder exporter,0,3,0.0,68.0,0.0,https://jftagro.com/moringa-powder-exporter.html,moringa product intent,validate_relevance_before_investing
port and cargo container tracking,0,3,0.0,68.0,0.0,https://jftagro.com/packing-calculator.html,container packing intent,validate_relevance_before_investing
transit time calculator,0,3,0.0,40.33,0.0,,requires query-to-page API export,validate_relevance_before_investing
cargo port tracking,0,2,0.0,55.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
export rice from india to dubai,0,2,0.0,43.5,0.0,,requires query-to-page API export,validate_relevance_before_investing
five star export house in india,0,2,0.0,60.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
how to export moringa powder from india,0,2,0.0,63.5,0.0,https://jftagro.com/moringa-powder-exporter.html,moringa product intent,validate_relevance_before_investing
1121 steam basmati rice exporter,0,1,0.0,80.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
cif quote,1,1,100.0,5.0,0.0,https://jftagro.com/quote-calculator.html,calculator intent,strengthen_conversion_measurement
container transit time calculator,0,1,0.0,44.0,0.0,https://jftagro.com/packing-calculator.html,container packing intent,validate_relevance_before_investing
curry export,0,1,0.0,50.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
drumstick leaves export,0,1,0.0,63.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
dry red chilli export from india,0,1,0.0,60.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
eisu container tracking,0,1,0.0,59.0,0.0,https://jftagro.com/packing-calculator.html,container packing intent,validate_relevance_before_investing
export chilli,0,1,0.0,87.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
how to calculate cif price for export,1,1,100.0,7.0,0.0,https://jftagro.com/quote-calculator.html,calculator intent,strengthen_conversion_measurement
how to export vegetables from india to dubai,0,1,0.0,83.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
jeera bhav today,0,1,0.0,42.0,0.0,https://jftagro.com/blog-cumin-jeera-price-outlook-2026.html,cumin price/information intent,validate_relevance_before_investing
jf agro private limited,0,1,0.0,45.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
moringa leaf export from india,0,1,0.0,86.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
nsft container tracking,0,1,0.0,46.0,0.0,https://jftagro.com/packing-calculator.html,container packing intent,validate_relevance_before_investing
nu,1,1,100.0,1.0,0.0,,requires query-to-page API export,defend_and_monitor
ocean freight transit time,0,1,0.0,70.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
ocean transit time calculator,0,1,0.0,50.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
ocean transit times,0,1,0.0,65.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
port to port shipping transit time calculator,0,1,0.0,50.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
port to port transit time,0,1,0.0,54.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
raisins exporter in india,0,1,0.0,47.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
rice importers in dubai from india,0,1,0.0,56.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
sea import cargo tracking,0,1,0.0,57.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
seefracht laufzeiten indien,0,1,0.0,75.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
senna leaves exporters,0,1,0.0,50.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
shipment tracking by vessel name,0,1,0.0,55.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
spice trade in southeast asia,0,1,0.0,69.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
transit time entre portos,0,1,0.0,72.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
transittijden zeevracht,0,1,0.0,75.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
vegetable export from india to uae,0,1,0.0,75.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
what is cif price and fob price,0,1,0.0,100.0,0.0,https://jftagro.com/quote-calculator.html,calculator intent,validate_relevance_before_investing
जीरा मंडी जोधपुर आज का भाव 2026,0,1,0.0,57.0,0.0,,requires query-to-page API export,validate_relevance_before_investing
